question;answer;metadata
Mon objectif 18-55mm f/5.6 ne permet pas de flou d’arrière-plan. Comment faire ?;Rapproche-toi au maximum du sujet (1-1.5m) et place-le loin du fond. À 55mm et f/5.6, le bokeh sera visible si le fond est à 5m+. Sinon, utilise un logiciel pour flouter l’arrière-plan en post-traitement.;{'gear': 'kit lens', 'issue': 'shallow DOF', 'location': 'park', 'weather': 'clear', 'time_of_day': 'afternoon', 'difficulty': 'basic'}
Mes photos de nuit en street sont floues à 1/60s. Que faire sans trépied ?;Monte en ISO (3200 max) et ouvre à f/3.5-5.6. Si ton objectif le permet, active la stabilisation. Sinon, appuie-toi contre un mur pour réduire les vibrations.;{'light': 'low', 'gear': 'any', 'issue': 'motion blur', 'location': 'downtown', 'weather': 'clear', 'time_of_day': 'night', 'difficulty': 'intermediate'}
Comment éviter les dominantes de couleur sous les réverbères ?;"Règle la balance des blancs sur ""lumière tungstène"" ou utilise le mode personnalisé. En RAW, corrige la teinte en post-traitement avec un curseur vers le bleu.";{'light': 'artificial', 'issue': 'color cast', 'location': 'urban', 'weather': 'clear', 'time_of_day': 'night', 'difficulty': 'basic'}
Mon 18-55mm est trop lent en intérieur sombre. Que faire ?;Ouvre à f/3.5, monte en ISO (1600-3200), et ralentis la vitesse à 1/30s en t’appuyant sur un mur. Évite le flash pour garder l’ambiance.;{'gear': 'kit lens', 'light': 'low', 'location': 'café', 'weather': 'rainy', 'time_of_day': 'evening', 'difficulty': 'intermediate'}
Mon objectif kit zoom trop lentement en AF. Comment faire ?;Prérègle la mise au point en manuel sur une distance commune (2-3m) et utilise la zone de netteté (hyperfocale). Sinon, passe en AF simple et anticipes les scènes statiques.;{'gear': 'kit lens', 'issue': 'slow AF', 'location': 'urban', 'weather': 'clear', 'time_of_day': 'noon', 'difficulty': 'intermediate'}
Faut-il toujours shooter en RAW en street ?;Non, mais le RAW offre plus de flexibilité pour corriger l’exposition ou la balance des blancs. Le JPEG est suffisant si tu maîtrises la lumière et les réglages.;{'gear': 'any', 'style': 'workflow', 'location': 'urban', 'weather': 'clear', 'time_of_day': 'noon', 'difficulty': 'basic'}
"Comment éviter les photos ""trop posées"" en street ?";Photographie sans regarder dans le viseur (à la hanche), utilise un déclencheur silencieux, et capture les moments où les sujets sont absorbés par leur activité.;{'style': 'candid', 'subject': 'people', 'location': 'urban', 'weather': 'sunny', 'time_of_day': 'noon', 'difficulty': 'advanced'}
Comment photographier des scènes de rue la nuit sans trépied ?;Augmente les ISO (3200-6400), ouvre à f/1.8-2.8, et utilise des vitesses lentes (1/30s) en t’appuyant sur un support. Les éclairages urbains (néons, vitrines) peuvent servir de sources de lumière.;{'light': 'night', 'gear': 'fast lens', 'location': 'downtown', 'weather': 'clear', 'time_of_day': 'night', 'difficulty': 'advanced'}
Comment diriger un modèle timide pour un portrait urbain naturel ?;"Encourage-le à marcher ou à s’appuyer contre un mur, puis capture ses mouvements spontanés. Utilise une focale moyenne (50-85mm) pour garder une distance confortable et éviter l’effet ""posé"".";{'style': 'portrait', 'subject': 'people', 'location': 'urban', 'weather': 'clear', 'time_of_day': 'golden hour', 'difficulty': 'intermediate'}
Quel objectif choisir pour des portraits urbains avec un APS-C ?;Un 35mm (équivalent 50mm) ou un 50mm (équivalent 85mm) pour un beau bokeh. Évite les grands angles qui déforment les traits.;{'gear': 'APS-C', 'style': 'portrait', 'location': 'downtown', 'weather': 'sunny', 'time_of_day': 'afternoon', 'difficulty': 'basic'}
Comment gérer la lumière dure en portrait urbain en milieu de journée ?;Place ton modèle à l’ombre d’un bâtiment ou utilise un réflecteur pour adoucir les ombres. Une exposition légèrement sous-exposée (-0.3 EV) permet de sauver les détails en post-traitement.;{'light': 'harsh', 'style': 'portrait', 'location': 'urban', 'weather': 'sunny', 'time_of_day': 'noon', 'difficulty': 'intermediate'}
Comment isoler un sujet dans un environnement urbain chargé ?;Ouvre à f/1.8-2.8 pour flouter l’arrière-plan, et rapproche-toi pour remplir le cadre. Cherche des fonds simples (murs, ciel) ou utilise une profondeur de champ réduite.;{'gear': 'fast lens', 'style': 'portrait', 'location': 'urban', 'weather': 'clear', 'time_of_day': 'noon', 'difficulty': 'advanced'}
Comment éviter les dominantes de couleur sur les peaux en ville ?;Utilise une balance des blancs personnalisée (grise 18%) ou shoot en RAW pour corriger en post-traitement. Évite les éclairages mixtes (néons + soleil).;{'light': 'mixed', 'issue': 'color cast', 'style': 'portrait', 'location': 'urban', 'weather': 'clear', 'time_of_day': 'evening', 'difficulty': 'intermediate'}
Quelle est la meilleure distance pour un portrait urbain avec un 85mm ?;1.5 à 3 mètres pour capturer les expressions sans déformation. À cette distance, le bokeh sera doux et le sujet bien mis en valeur.;{'gear': '85mm', 'style': 'portrait', 'location': 'urban', 'weather': 'sunny', 'time_of_day': 'afternoon', 'difficulty': 'basic'}
Comment capturer des émotions authentiques en portrait urbain ?;"Discute avec ton modèle pour le mettre à l’aise, puis photographie-le lorsqu’il rit ou regarde au loin. Les ""moments volés"" entre les poses sont souvent les meilleurs.";{'style': 'candid', 'subject': 'people', 'location': 'urban', 'weather': 'clear', 'time_of_day': 'golden hour', 'difficulty': 'advanced'}
Faut-il utiliser un flash en plein jour pour un portrait urbain ?;"Oui, un flash cobra en ""fill-in"" (puissance réduite) peut adoucir les ombres sous les yeux. Utilise un diffuseur pour éviter les reflets durs.";{'light': 'sunny', 'gear': 'flash', 'style': 'portrait', 'location': 'urban', 'weather': 'clear', 'time_of_day': 'noon', 'difficulty': 'advanced'}
Comment composer avec les éléments urbains (graffitis, escaliers) ?;Intègre-les comme cadre naturel : place ton modèle devant un mur coloré ou utilise les lignes des escaliers pour guider le regard. Évite les éléments trop distractifs en arrière-plan.;{'style': 'composition', 'subject': 'people', 'location': 'urban', 'weather': 'clear', 'time_of_day': 'afternoon', 'difficulty': 'intermediate'}
Comment photographier un portrait urbain en contre-jour ?;Surexpose légèrement (+0.7 EV) pour garder les détails du visage, ou utilise un flash pour équilibrer la lumière. Un fond lumineux (ciel, vitrine) crée un effet dramatique.;{'light': 'backlit', 'style': 'portrait', 'location': 'urban', 'weather': 'sunny', 'time_of_day': 'sunset', 'difficulty': 'advanced'}
Quel réglage AF pour des portraits urbains avec sujet en mouvement ?;Utilise l’AF continu (AF-C) et le suivi des yeux si ton boîtier le permet. Prérègle la mise au point sur la zone où le modèle va passer.;{'gear': 'any', 'subject': 'moving', 'style': 'portrait', 'location': 'urban', 'weather': 'clear', 'time_of_day': 'afternoon', 'difficulty': 'advanced'}
Comment éviter les reflets indésirables sur les lunettes en portrait urbain ?;Demande au modèle d’incliner légèrement la tête ou utilise un polariseur. En post-traitement, tu peux aussi cloner les reflets gênants.;{'light': 'reflective', 'issue': 'glare', 'style': 'portrait', 'location': 'urban', 'weather': 'sunny', 'time_of_day': 'noon', 'difficulty': 'intermediate'}
Quels réglages utiliser pour photographier des néons urbains la nuit ?;f/2.8-4, ISO 800-1600, 1/30s à 1/2s selon la stabilité. Utilise un trépied ou appuie-toi sur un mur. Les néons offrent une lumière colorée idéale pour des ambiances cinématographiques.;{'light': 'night', 'gear': 'any', 'style': 'creative', 'location': 'downtown', 'weather': 'clear', 'time_of_day': 'night', 'difficulty': 'intermediate'}
Comment éviter le bruit numérique en photo de nuit sans trépied ?;Monte en ISO (max 6400), ouvre à f/1.8-2.8, et utilise la stabilisation si disponible. En post-traitement, réduis le bruit avec un logiciel (ex: Topaz Denoise).;{'light': 'low', 'issue': 'noise', 'location': 'urban', 'weather': 'clear', 'time_of_day': 'night', 'difficulty': 'intermediate'}
Comment photographier des traînées de lumière (voitures) en ville ?;Utilise un trépied, une vitesse lente (2-10s), et un déclencheur retardé pour éviter les vibrations. Une ouverture à f/8-11 donne des traînées nettes.;{'style': 'light trails', 'location': 'urban', 'weather': 'clear', 'time_of_day': 'night', 'difficulty': 'advanced'}
Quel objectif pour des portraits de nuit en ville ?;Un 35mm ou 50mm f/1.4-1.8 pour capter assez de lumière et isoler le sujet. Évite les zooms lents (ex: 18-55mm à f/5.6).;{'gear': 'fast lens', 'style': 'portrait', 'location': 'urban', 'weather': 'clear', 'time_of_day': 'night', 'difficulty': 'basic'}
Comment gérer la balance des blancs en photo de nuit urbaine ?;"Utilise le mode ""lumière tungstène"" pour les réverbères, ou shoot en RAW pour ajuster en post-traitement. Les éclairages urbains mélangent souvent des teintes chaudes et froides.";{'light': 'artificial', 'issue': 'color cast', 'location': 'urban', 'weather': 'clear', 'time_of_day': 'night', 'difficulty': 'basic'}
Comment photographier un sujet éclairé par un réverbère ?;Mesure l’exposition sur le visage du sujet, puis surexpose légèrement (+0.3 EV) pour équilibrer avec l’arrière-plan sombre. Un réflecteur peut aider à éclairer les ombres.;{'light': 'artificial', 'style': 'portrait', 'location': 'urban', 'weather': 'clear', 'time_of_day': 'night', 'difficulty': 'intermediate'}
Quels réglages pour photographier des éclairs en ville la nuit ?;Utilise un trépied, une ouverture à f/8, ISO 100, et une pose longue (10-30s). Déclenche avec un intervalomètre ou une télécommande pour éviter les vibrations.;{'weather': 'stormy', 'light': 'night', 'location': 'urban', 'difficulty': 'advanced'}
Comment éviter que le vent ne fasse bouger l’appareil en photo de nuit ?;Utilise un trépied lourd ou accroche un poids (ex: sac) à la colonne centrale. Active la stabilisation si tu shootes à main levée.;{'weather': 'windy', 'light': 'night', 'location': 'urban', 'difficulty': 'basic'}
Comment photographier des ombres portées par temps de brouillard ?;Surexpose légèrement (+0.7 EV) pour révéler les détails dans les ombres. Un objectif grand-angle (24mm) capture l’atmosphère enveloppante.;{'weather': 'foggy', 'light': 'low', 'location': 'urban', 'difficulty': 'intermediate'}
Quels réglages pour des portraits urbains par temps de neige ?;Utilise un réflecteur pour éclairer les visages, ou surexpose de +1 EV. Évite les fonds blancs pour garder du contraste.;{'weather': 'snowy', 'style': 'portrait', 'location': 'urban', 'difficulty': 'intermediate'}
Comment photographier des musiciens de rue en mouvement ?;AF continu, vitesse 1/500s, et ouverture à f/2.8 pour isoler le sujet. Anticipe les moments clés (ex: souffle dans un instrument) en déclenchant en rafale.;{'subject': 'people', 'location': 'street', 'difficulty': 'advanced'}
Comment photographier des foules en mouvement (ex: sortie de concert) ?;Utilise une vitesse lente (1/30s) pour suggérer le mouvement, ou fige les sujets avec 1/1000s. Un grand-angle (24mm) capture l’ampleur de la scène.;{'subject': 'crowd', 'location': 'event', 'time_of_day': 'night', 'difficulty': 'intermediate'}
Comment éviter les problèmes de droits à l’image dans un événement public ?;Floute les visages en post-traitement si nécessaire, ou photographie les scènes larges où les individus ne sont pas reconnaissables.;{'subject': 'people', 'location': 'event', 'ethics': 'sensitive', 'difficulty': 'basic'}
Comment capturer l’ambiance d’un festival de rue la nuit ?;Utilise un trépied pour les poses longues (1-5s) et capture les traînées de lumière. Pour les portraits, monte en ISO (3200) et ouvre à f/1.8.;{'light': 'night', 'location': 'event', 'difficulty': 'advanced'}
Quels réglages pour photographier des feux d’artifice en ville ?;Trépied, ouverture à f/8-11, ISO 100, et pose longue (2-10s). Utilise un déclencheur retardé pour éviter les vibrations.;{'light': 'night', 'location': 'event', 'difficulty': 'intermediate'}
Comment photographier des ponts urbains la nuit ?;Trépied, ouverture à f/8, et pose longue (5-30s) pour capturer les traînées de lumière. Utilise un déclencheur retardé pour éviter les vibrations.;{'light': 'night', 'location': 'urban', 'difficulty': 'advanced'}
Comment photographier l’intérieur d’une gare ou d’un métro ?;Monte en ISO (1600-3200) et ouvre à f/2.8-4. Utilise la stabilisation si la lumière est faible. Les symétries et lignes directrices sont des sujets forts.;{'light': 'artificial', 'location': 'subway', 'difficulty': 'intermediate'}
Quels réglages pour photographier dans le métro sans flash ?;ISO 3200-6400, ouverture à f/1.8-2.8, et vitesse 1/60s. Appuie-toi contre un mur pour stabiliser l’appareil. Les éclairages artificiels créent des ambiances colorées.;{'light': 'artificial', 'location': 'subway', 'difficulty': 'advanced'}
Comment capturer un artiste en train de peindre un mural ?;Demande la permission, utilise un 50mm pour les portraits, et photographie les détails (pinceaux, couleurs) pour contextualiser.;{'subject': 'people', 'location': 'urban', 'difficulty': 'intermediate'}
Comment utiliser un éclairage latéral (ex: réverbère) pour sculpter les traits en portrait de nuit ?;"Place ton modèle à 45° de la source lumineuse pour créer des ombres marquées. Utilise un réflecteur ou un flash ""fill-in"" (puissance réduite) pour adoucir les contrastes. Une ouverture à f/2.8 isole le sujet.";{'style': 'portrait', 'light': 'artificial', 'location': 'urban', 'time_of_day': 'night', 'difficulty': 'advanced', 'theme': 'night_portrait'}
Quels réglages pour un portrait en noir et blanc la nuit avec un 85mm f/1.8 ?;f/1.8, ISO 1600, 1/250s. Surexpose légèrement (+0.3 EV) pour garder les détails dans les ombres. En post-traitement, augmente le contraste et la clarté pour un rendu dramatique.;{'gear': '85mm', 'style': 'B&W portrait', 'location': 'downtown', 'time_of_day': 'night', 'difficulty': 'intermediate', 'theme': 'night_portrait'}
Comment éviter les yeux rouges en portrait de nuit avec un flash ?;Utilise un flash externe (pas le flash intégré) et demande au modèle de ne pas regarder directement la source. Un pré-flash ou un éclairage ambiant réduit l’effet.;{'gear': 'flash', 'style': 'portrait', 'location': 'urban', 'time_of_day': 'night', 'difficulty': 'basic', 'theme': 'low_light_technique'}
Comment photographier un couple en mouvement dans une rue éclairée la nuit ?;AF continu, vitesse 1/125s, ouverture à f/2.8. Suis le mouvement des sujets et déclenche en rafale. Les éclairages urbains (néons) ajoutent une ambiance colorée.;{'subject': 'moving', 'style': 'portrait', 'location': 'urban', 'time_of_day': 'night', 'difficulty': 'advanced', 'theme': 'night_portrait'}
Comment capturer les détails d’un visage avec un éclairage de Noël en arrière-plan ?;Mesure l’exposition sur le visage, puis surexpose de +0.7 EV pour équilibrer avec les lumières. Un objectif macro (50mm) capture les détails des décorations.;{'light': 'artificial', 'style': 'portrait', 'location': 'urban', 'time_of_day': 'night', 'difficulty': 'intermediate', 'theme': 'night_portrait'}
"Comment créer un effet ""cinématographique"" pour un portrait de nuit avec un smartphone ?";"Active le mode ""nuit"" et utilise une app manuelle (ex: ProCamera) pour contrôler l’ISO (max 3200) et la vitesse (1/30s). Ajoute un filtre orange en post-traitement pour un rendu filmique.";{'gear': 'smartphone', 'style': 'cinematic portrait', 'location': 'urban', 'time_of_day': 'night', 'difficulty': 'basic', 'theme': 'low_light_technique'}
Comment gérer la balance des blancs pour un portrait sous des éclairages LED colorés ?;Shoote en RAW et ajuste la température de couleur en post-traitement (ex: 3500K pour des tons chauds). Évite les dominantes vertes en corrigeant la teinte.;{'light': 'artificial', 'issue': 'color cast', 'style': 'portrait', 'location': 'urban', 'time_of_day': 'night', 'difficulty': 'intermediate', 'theme': 'low_light_technique'}
Comment photographier un musicien de rue la nuit sans surexposer les lumières ?;Utilise la mesure spot sur le visage, ou sous-expose de -0.7 EV. Un fond sombre (ex: mur) mettra en valeur le sujet.;{'subject': 'people', 'light': 'mixed', 'style': 'portrait', 'location': 'street', 'time_of_day': 'night', 'difficulty': 'advanced', 'theme': 'night_portrait'}
Comment utiliser les ombres portées pour un portrait dramatique en ville la nuit ?;Place ton modèle près d’un mur éclairé par un réverbère pour créer des ombres nettes. Une contre-plongée accentue l’effet.;{'style': 'dramatic portrait', 'light': 'artificial', 'location': 'urban', 'time_of_day': 'night', 'difficulty': 'intermediate', 'theme': 'night_portrait'}
Quels accessoires utiliser pour un portrait de nuit avec un équipement léger ?;Un trépied compact (ex: GorillaPod), un objectif lumineux (35mm f/1.8), et un petit réflecteur. Un déclencheur à distance évite les vibrations.;{'gear': 'lightweight', 'style': 'portrait', 'location': 'urban', 'time_of_day': 'night', 'difficulty': 'basic', 'theme': 'low_light_technique'}
Comment photographier un portrait avec des traînées de lumière en arrière-plan ?;Pose longue (2-5s), trépied, et ouverture à f/8. Demande au modèle de rester immobile pendant la pose. Les phares des voitures créent des traînées dynamiques.;{'style': 'light trails portrait', 'location': 'urban', 'time_of_day': 'night', 'difficulty': 'advanced', 'theme': 'night_portrait'}
Comment éviter le bruit numérique dans les ombres d’un portrait de nuit ?;Monte en ISO par paliers (teste 1600, 3200, 6400) et utilise un logiciel de réduction de bruit (ex: DxO PhotoLab). Évite de trop pousser les ombres en post-traitement.;{'light': 'low', 'issue': 'noise', 'style': 'portrait', 'location': 'urban', 'time_of_day': 'night', 'difficulty': 'intermediate', 'theme': 'low_light_technique'}
Comment diriger un modèle pour un portrait spontané dans un bar sombre ?;"Photographie les ""moments volés"" (ex: rire, regard vers un verre) avec un 50mm f/1.8. Utilise la lumière disponible (ex: bougies, néons) pour une ambiance naturelle.";{'style': 'candid portrait', 'light': 'low', 'location': 'bar', 'time_of_day': 'night', 'difficulty': 'advanced', 'theme': 'night_portrait'}
